,character,rating
0,Han Solo,Very favorably
2,Han Solo,Somewhat favorably
3,Han Solo,Very favorably
4,Han Solo,Very favorably
5,Han Solo,Very favorably
6,Han Solo,Very favorably
7,Han Solo,Very favorably
8,Han Solo,Very favorably
9,Han Solo,Neither favorably nor unfavorably (neutral)
12,Han Solo,Somewhat favorably
13,Han Solo,Very favorably
14,Han Solo,Somewhat favorably
15,Han Solo,Very favorably
16,Han Solo,Neither favorably nor unfavorably (neutral)
17,Han Solo,Very favorably
18,Han Solo,Very favorably
19,Han Solo,Very favorably
20,Han Solo,Very favorably
21,Han Solo,Neither favorably nor unfavorably (neutral)
22,Han Solo,Very favorably
23,Han Solo,Very favorably
24,Han Solo,Very favorably
26,Han Solo,Very favorably
27,Han Solo,Very favorably
28,Han Solo,Very favorably
29,Han Solo,Very favorably
30,Han Solo,Neither favorably nor unfavorably (neutral)
31,Han Solo,Very favorably
32,Han Solo,Somewhat unfavorably
35,Han Solo,Very favorably
36,Han Solo,Somewhat favorably
37,Han Solo,Very favorably
38,Han Solo,Somewhat favorably
39,Han Solo,Very favorably
40,Han Solo,Very favorably
41,Han Solo,Very favorably
42,Han Solo,Very favorably
43,Han Solo,Very favorably
44,Han Solo,Very favorably
45,Han Solo,Very favorably
47,Han Solo,Very favorably
48,Han Solo,Very favorably
50,Han Solo,Very favorably
51,Han Solo,Neither favorably nor unfavorably (neutral)
52,Han Solo,Very favorably
53,Han Solo,Very favorably
54,Han Solo,Very favorably
56,Han Solo,Very favorably
57,Han Solo,Very favorably
58,Han Solo,Very favorably
59,Han Solo,Somewhat favorably
60,Han Solo,Very favorably
62,Han Solo,Very favorably
63,Han Solo,Very favorably
64,Han Solo,Somewhat favorably
65,Han Solo,Somewhat favorably
66,Han Solo,Very favorably
67,Han Solo,Very favorably
68,Han Solo,Very favorably
69,Han Solo,Very favorably
70,Han Solo,Very favorably
71,Han Solo,Very favorably
72,Han Solo,Very favorably
73,Han Solo,Very favorably
74,Han Solo,Very favorably
75,Han Solo,Very favorably
76,Han Solo,Somewhat favorably
77,Han Solo,Very favorably
78,Han Solo,Very favorably
79,Han Solo,Very favorably
81,Han Solo,Somewhat favorably
82,Han Solo,Somewhat favorably
83,Han Solo,Very favorably
85,Han Solo,Very favorably
88,Han Solo,Very favorably
90,Han Solo,Very favorably
91,Han Solo,Very favorably
93,Han Solo,Neither favorably nor unfavorably (neutral)
94,Han Solo,Very favorably
95,Han Solo,Very favorably
97,Han Solo,Very favorably
98,Han Solo,Very favorably
99,Han Solo,Very favorably
100,Han Solo,Very favorably
101,Han Solo,Very favorably
102,Han Solo,Somewhat favorably
106,Han Solo,Very favorably
107,Han Solo,Somewhat favorably
109,Han Solo,Somewhat favorably
110,Han Solo,Somewhat favorably
111,Han Solo,Very favorably
112,Han Solo,Very favorably
113,Han Solo,Very favorably
114,Han Solo,Very favorably
116,Han Solo,Very favorably
117,Han Solo,Very favorably
120,Han Solo,Very favorably
122,Han Solo,Very favorably
123,Han Solo,Very favorably
125,Han Solo,Very favorably
131,Han Solo,Somewhat favorably
132,Han Solo,Very favorably
133,Han Solo,Very favorably
135,Han Solo,Very favorably
139,Han Solo,Very favorably
140,Han Solo,Very favorably
141,Han Solo,Unfamiliar (N/A)
142,Han Solo,Neither favorably nor unfavorably (neutral)
143,Han Solo,Very favorably
144,Han Solo,Very favorably
146,Han Solo,Very favorably
147,Han Solo,Somewhat favorably
148,Han Solo,Very favorably
149,Han Solo,Somewhat favorably
151,Han Solo,Very favorably
152,Han Solo,Somewhat favorably
153,Han Solo,Somewhat favorably
154,Han Solo,Somewhat favorably
155,Han Solo,Very favorably
156,Han Solo,Neither favorably nor unfavorably (neutral)
158,Han Solo,Very favorably
159,Han Solo,Neither favorably nor unfavorably (neutral)
160,Han Solo,Very favorably
161,Han Solo,Very favorably
162,Han Solo,Very favorably
163,Han Solo,Very favorably
164,Han Solo,Very favorably
165,Han Solo,Neither favorably nor unfavorably (neutral)
166,Han Solo,Very favorably
167,Han Solo,Somewhat favorably
168,Han Solo,Very favorably
169,Han Solo,Neither favorably nor unfavorably (neutral)
170,Han Solo,Very favorably
172,Han Solo,Very favorably
173,Han Solo,Very favorably
174,Han Solo,Very favorably
175,Han Solo,Very favorably
176,Han Solo,Very favorably
177,Han Solo,Very favorably
178,Han Solo,Very favorably
179,Han Solo,Very favorably
181,Han Solo,Very favorably
183,Han Solo,Very favorably
185,Han Solo,Very favorably
186,Han Solo,Very favorably
187,Han Solo,Very favorably
188,Han Solo,Unfamiliar (N/A)
191,Han Solo,Very favorably
194,Han Solo,Very favorably
196,Han Solo,Very favorably
198,Han Solo,Very favorably
200,Han Solo,Somewhat favorably
202,Han Solo,Very favorably
203,Han Solo,Very favorably
204,Han Solo,Somewhat favorably
206,Han Solo,Very favorably
207,Han Solo,Very favorably
209,Han Solo,Very favorably
211,Han Solo,Somewhat favorably
212,Han Solo,Very favorably
215,Han Solo,Very favorably
216,Han Solo,Very favorably
217,Han Solo,Neither favorably nor unfavorably (neutral)
220,Han Solo,Very favorably
223,Han Solo,Very favorably
224,Han Solo,Very favorably
225,Han Solo,Somewhat favorably
227,Han Solo,Very favorably
228,Han Solo,Very favorably
229,Han Solo,Very favorably
231,Han Solo,Very favorably
232,Han Solo,Very favorably
235,Han Solo,Very favorably
236,Han Solo,Neither favorably nor unfavorably (neutral)
237,Han Solo,Very favorably
238,Han Solo,Very favorably
239,Han Solo,Very favorably
240,Han Solo,Very favorably
241,Han Solo,Very favorably
242,Han Solo,Very favorably
244,Han Solo,Very favorably
245,Han Solo,Very favorably
246,Han Solo,Very favorably
247,Han Solo,Somewhat favorably
248,Han Solo,Very favorably
249,Han Solo,Very favorably
250,Han Solo,Very favorably
253,Han Solo,Somewhat favorably
255,Han Solo,Somewhat favorably
256,Han Solo,Very favorably
257,Han Solo,Very favorably
258,Han Solo,Very favorably
259,Han Solo,Very favorably
260,Han Solo,Somewhat favorably
261,Han Solo,Very favorably
263,Han Solo,Somewhat favorably
264,Han Solo,Very favorably
266,Han Solo,Very favorably
267,Han Solo,Very favorably
269,Han Solo,Very favorably
270,Han Solo,Very favorably
271,Han Solo,Very favorably
273,Han Solo,Very favorably
274,Han Solo,Very favorably
275,Han Solo,Very favorably
276,Han Solo,Somewhat favorably
279,Han Solo,Very favorably
280,Han Solo,Very favorably
281,Han Solo,Very favorably
282,Han Solo,Very favorably
283,Han Solo,Very favorably
284,Han Solo,Very favorably
285,Han Solo,Very favorably
287,Han Solo,Very favorably
289,Han Solo,Somewhat unfavorably
290,Han Solo,Neither favorably nor unfavorably (neutral)
291,Han Solo,Very favorably
294,Han Solo,Somewhat favorably
295,Han Solo,Somewhat favorably
297,Han Solo,Somewhat favorably
298,Han Solo,Very favorably
299,Han Solo,Unfamiliar (N/A)
301,Han Solo,Very favorably
302,Han Solo,Very favorably
304,Han Solo,Very favorably
305,Han Solo,Very unfavorably
307,Han Solo,Very favorably
308,Han Solo,Very favorably
309,Han Solo,Somewhat favorably
310,Han Solo,Very favorably
311,Han Solo,Very favorably
313,Han Solo,Very favorably
315,Han Solo,Somewhat favorably
316,Han Solo,Very favorably
317,Han Solo,Somewhat favorably
318,Han Solo,Somewhat favorably
320,Han Solo,Very favorably
323,Han Solo,Somewhat favorably
325,Han Solo,Unfamiliar (N/A)
327,Han Solo,Very favorably
328,Han Solo,Very favorably
329,Han Solo,Very favorably
330,Han Solo,Neither favorably nor unfavorably (neutral)
331,Han Solo,Very favorably
332,Han Solo,Very favorably
333,Han Solo,Very favorably
334,Han Solo,Very favorably
335,Han Solo,Very favorably
336,Han Solo,Very favorably
338,Han Solo,Very favorably
339,Han Solo,Very favorably
340,Han Solo,Very favorably
341,Han Solo,Very favorably
342,Han Solo,Somewhat favorably
345,Han Solo,Very favorably
346,Han Solo,Very favorably
347,Han Solo,Somewhat favorably
348,Han Solo,Somewhat favorably
349,Han Solo,Very favorably
350,Han Solo,Very favorably
351,Han Solo,Very favorably
354,Han Solo,Very favorably
356,Han Solo,Somewhat favorably
357,Han Solo,Very favorably
359,Han Solo,Very favorably
360,Han Solo,Very favorably
362,Han Solo,Very favorably
364,Han Solo,Somewhat favorably
365,Han Solo,Somewhat unfavorably
366,Han Solo,Very favorably
368,Han Solo,Very favorably
369,Han Solo,Somewhat favorably
370,Han Solo,Somewhat favorably
372,Han Solo,Very favorably
373,Han Solo,Unfamiliar (N/A)
374,Han Solo,Somewhat favorably
375,Han Solo,Very favorably
376,Han Solo,Very favorably
381,Han Solo,Unfamiliar (N/A)
382,Han Solo,Very favorably
383,Han Solo,Very favorably
384,Han Solo,Very favorably
388,Han Solo,Very favorably
389,Han Solo,Very favorably
391,Han Solo,Neither favorably nor unfavorably (neutral)
392,Han Solo,Very favorably
393,Han Solo,Somewhat favorably
395,Han Solo,Neither favorably nor unfavorably (neutral)
396,Han Solo,Very favorably
397,Han Solo,Very favorably
399,Han Solo,Very favorably
400,Han Solo,Very favorably
402,Han Solo,Very favorably
403,Han Solo,Very favorably
404,Han Solo,Very favorably
405,Han Solo,Somewhat favorably
406,Han Solo,Very favorably
409,Han Solo,Very favorably
411,Han Solo,Very favorably
412,Han Solo,Neither favorably nor unfavorably (neutral)
415,Han Solo,Very favorably
416,Han Solo,Very favorably
418,Han Solo,Very favorably
419,Han Solo,Very favorably
422,Han Solo,Very favorably
423,Han Solo,Very favorably
424,Han Solo,Very favorably
425,Han Solo,Very favorably
426,Han Solo,Somewhat favorably
428,Han Solo,Very favorably
430,Han Solo,Very favorably
431,Han Solo,Neither favorably nor unfavorably (neutral)
432,Han Solo,Very favorably
433,Han Solo,Very favorably
434,Han Solo,Very favorably
435,Han Solo,Very favorably
436,Han Solo,Somewhat unfavorably
437,Han Solo,Neither favorably nor unfavorably (neutral)
438,Han Solo,Very favorably
439,Han Solo,Very favorably
440,Han Solo,Very favorably
441,Han Solo,Very favorably
442,Han Solo,Very favorably
444,Han Solo,Very favorably
445,Han Solo,Very favorably
448,Han Solo,Very favorably
449,Han Solo,Very favorably
452,Han Solo,Very favorably
454,Han Solo,Very favorably
455,Han Solo,Very favorably
457,Han Solo,Somewhat favorably
458,Han Solo,Very favorably
460,Han Solo,Very favorably
461,Han Solo,Somewhat favorably
462,Han Solo,Very favorably
463,Han Solo,Very favorably
464,Han Solo,Very favorably
465,Han Solo,Very favorably
466,Han Solo,Very favorably
467,Han Solo,Somewhat favorably
468,Han Solo,Somewhat favorably
469,Han Solo,Somewhat favorably
471,Han Solo,Very favorably
472,Han Solo,Somewhat favorably
473,Han Solo,Very favorably
475,Han Solo,Somewhat favorably
476,Han Solo,Very favorably
477,Han Solo,Somewhat favorably
478,Han Solo,Somewhat favorably
479,Han Solo,Very favorably
481,Han Solo,Very favorably
483,Han Solo,Very favorably
484,Han Solo,Very favorably
485,Han Solo,Very favorably
486,Han Solo,Very favorably
489,Han Solo,Somewhat favorably
490,Han Solo,Very favorably
491,Han Solo,Very favorably
493,Han Solo,Somewhat favorably
494,Han Solo,Somewhat favorably
495,Han Solo,Very favorably
497,Han Solo,Very favorably
498,Han Solo,Somewhat favorably
499,Han Solo,Somewhat favorably
500,Han Solo,Very favorably
501,Han Solo,Very favorably
503,Han Solo,Very favorably
504,Han Solo,Very favorably
505,Han Solo,Very favorably
506,Han Solo,Very favorably
507,Han Solo,Very favorably
508,Han Solo,Unfamiliar (N/A)
509,Han Solo,Very favorably
513,Han Solo,Somewhat favorably
514,Han Solo,Very favorably
517,Han Solo,Somewhat favorably
518,Han Solo,Very favorably
519,Han Solo,Very favorably
520,Han Solo,Very favorably
521,Han Solo,Somewhat favorably
522,Han Solo,Somewhat favorably
523,Han Solo,Very favorably
524,Han Solo,Very favorably
527,Han Solo,Very favorably
528,Han Solo,Very favorably
529,Han Solo,Very favorably
530,Han Solo,Very favorably
532,Han Solo,Very favorably
533,Han Solo,Somewhat favorably
534,Han Solo,Very favorably
535,Han Solo,Very favorably
537,Han Solo,Very favorably
538,Han Solo,Very favorably
541,Han Solo,Very favorably
542,Han Solo,Very favorably
545,Han Solo,Very favorably
548,Han Solo,Very favorably
549,Han Solo,Very favorably
551,Han Solo,Somewhat favorably
552,Han Solo,Very favorably
554,Han Solo,Very favorably
555,Han Solo,Neither favorably nor unfavorably (neutral)
556,Han Solo,Very favorably
560,Han Solo,Very favorably
561,Han Solo,Very favorably
563,Han Solo,Very favorably
564,Han Solo,Very favorably
565,Han Solo,Very favorably
566,Han Solo,Very favorably
567,Han Solo,Very favorably
568,Han Solo,Very favorably
569,Han Solo,Somewhat favorably
570,Han Solo,Very favorably
571,Han Solo,Very favorably
572,Han Solo,Very favorably
574,Han Solo,Very favorably
575,Han Solo,Very favorably
576,Han Solo,Unfamiliar (N/A)
581,Han Solo,Very favorably
584,Han Solo,Very favorably
585,Han Solo,Very favorably
586,Han Solo,Unfamiliar (N/A)
590,Han Solo,Somewhat favorably
591,Han Solo,Very favorably
592,Han Solo,Neither favorably nor unfavorably (neutral)
593,Han Solo,Very favorably
594,Han Solo,Very favorably
595,Han Solo,Very favorably
596,Han Solo,Very favorably
598,Han Solo,Very favorably
600,Han Solo,Very favorably
601,Han Solo,Very favorably
602,Han Solo,Very favorably
603,Han Solo,Very favorably
604,Han Solo,Very favorably
606,Han Solo,Very favorably
607,Han Solo,Very favorably
608,Han Solo,Very favorably
609,Han Solo,Very favorably
610,Han Solo,Very favorably
620,Han Solo,Very favorably
621,Han Solo,Very favorably
622,Han Solo,Very favorably
623,Han Solo,Very favorably
625,Han Solo,Very favorably
626,Han Solo,Very favorably
627,Han Solo,Very favorably
630,Han Solo,Somewhat favorably
631,Han Solo,Somewhat favorably
632,Han Solo,Very favorably
634,Han Solo,Very favorably
635,Han Solo,Very favorably
636,Han Solo,Very favorably
637,Han Solo,Very favorably
638,Han Solo,Unfamiliar (N/A)
639,Han Solo,Very favorably
640,Han Solo,Somewhat favorably
641,Han Solo,Very favorably
642,Han Solo,Somewhat unfavorably
643,Han Solo,Very favorably
645,Han Solo,Very favorably
649,Han Solo,Very favorably
650,Han Solo,Somewhat favorably
652,Han Solo,Somewhat favorably
653,Han Solo,Somewhat favorably
654,Han Solo,Very favorably
655,Han Solo,Very favorably
656,Han Solo,Very favorably
657,Han Solo,Very favorably
658,Han Solo,Very favorably
659,Han Solo,Very favorably
662,Han Solo,Very favorably
664,Han Solo,Neither favorably nor unfavorably (neutral)
665,Han Solo,Very favorably
666,Han Solo,Very favorably
667,Han Solo,Very favorably
670,Han Solo,Very favorably
671,Han Solo,Very favorably
673,Han Solo,Very favorably
675,Han Solo,Very favorably
676,Han Solo,Neither favorably nor unfavorably (neutral)
677,Han Solo,Very favorably
678,Han Solo,Very favorably
679,Han Solo,Very favorably
680,Han Solo,Very favorably
681,Han Solo,Very favorably
683,Han Solo,Very favorably
684,Han Solo,Very favorably
685,Han Solo,Very favorably
686,Han Solo,Very favorably
687,Han Solo,Very favorably
689,Han Solo,Very favorably
690,Han Solo,Very favorably
691,Han Solo,Neither favorably nor unfavorably (neutral)
692,Han Solo,Unfamiliar (N/A)
693,Han Solo,Very favorably
694,Han Solo,Very favorably
695,Han Solo,Very favorably
696,Han Solo,Unfamiliar (N/A)
698,Han Solo,Very favorably
700,Han Solo,Very favorably
701,Han Solo,Somewhat favorably
702,Han Solo,Somewhat favorably
703,Han Solo,Very favorably
704,Han Solo,Very favorably
705,Han Solo,Very favorably
706,Han Solo,Very favorably
711,Han Solo,Very favorably
712,Han Solo,Very favorably
713,Han Solo,Very favorably
714,Han Solo,Very favorably
715,Han Solo,Very favorably
716,Han Solo,Very favorably
717,Han Solo,Somewhat favorably
718,Han Solo,Very favorably
719,Han Solo,Very favorably
721,Han Solo,Very favorably
722,Han Solo,Very favorably
724,Han Solo,Very favorably
725,Han Solo,Very favorably
726,Han Solo,Very favorably
728,Han Solo,Very favorably
729,Han Solo,Very favorably
731,Han Solo,Very favorably
732,Han Solo,Very favorably
733,Han Solo,Very favorably
735,Han Solo,Very favorably
739,Han Solo,Very favorably
740,Han Solo,Very favorably
741,Han Solo,Very favorably
742,Han Solo,Very favorably
743,Han Solo,Very favorably
744,Han Solo,Very favorably
745,Han Solo,Very favorably
750,Han Solo,Very favorably
751,Han Solo,Very favorably
752,Han Solo,Very favorably
753,Han Solo,Very favorably
754,Han Solo,Neither favorably nor unfavorably (neutral)
755,Han Solo,Very favorably
756,Han Solo,Very favorably
757,Han Solo,Very favorably
761,Han Solo,Very favorably
762,Han Solo,Very favorably
763,Han Solo,Very favorably
766,Han Solo,Somewhat favorably
767,Han Solo,Very favorably
768,Han Solo,Very favorably
770,Han Solo,Somewhat favorably
771,Han Solo,Very favorably
773,Han Solo,Very favorably
774,Han Solo,Very favorably
775,Han Solo,Somewhat favorably
776,Han Solo,Very favorably
777,Han Solo,Very favorably
778,Han Solo,Somewhat favorably
779,Han Solo,Very favorably
780,Han Solo,Very favorably
781,Han Solo,Neither favorably nor unfavorably (neutral)
783,Han Solo,Very favorably
785,Han Solo,Very favorably
787,Han Solo,Somewhat favorably
788,Han Solo,Very favorably
789,Han Solo,Very favorably
790,Han Solo,Very favorably
791,Han Solo,Very favorably
793,Han Solo,Somewhat favorably
794,Han Solo,Very favorably
797,Han Solo,Somewhat favorably
798,Han Solo,Very favorably
799,Han Solo,Very favorably
800,Han Solo,Very favorably
802,Han Solo,Very favorably
803,Han Solo,Very favorably
805,Han Solo,Somewhat favorably
809,Han Solo,Neither favorably nor unfavorably (neutral)
810,Han Solo,Very favorably
811,Han Solo,Somewhat favorably
813,Han Solo,Very favorably
814,Han Solo,Very favorably
815,Han Solo,Neither favorably nor unfavorably (neutral)
819,Han Solo,Very favorably
820,Han Solo,Very favorably
821,Han Solo,Somewhat favorably
827,Han Solo,Somewhat favorably
828,Han Solo,Very favorably
829,Han Solo,Somewhat favorably
831,Han Solo,Very favorably
832,Han Solo,Neither favorably nor unfavorably (neutral)
833,Han Solo,Very favorably
834,Han Solo,Very favorably
835,Han Solo,Very favorably
836,Han Solo,Very favorably
837,Han Solo,Very favorably
839,Han Solo,Very favorably
840,Han Solo,Very favorably
843,Han Solo,Very favorably
846,Han Solo,Very favorably
847,Han Solo,Very favorably
848,Han Solo,Very favorably
849,Han Solo,Very favorably
850,Han Solo,Somewhat favorably
851,Han Solo,Very favorably
852,Han Solo,Somewhat favorably
853,Han Solo,Very favorably
854,Han Solo,Very favorably
855,Han Solo,Very favorably
856,Han Solo,Very favorably
858,Han Solo,Very favorably
859,Han Solo,Very favorably
861,Han Solo,Very favorably
862,Han Solo,Very favorably
863,Han Solo,Somewhat favorably
865,Han Solo,Neither favorably nor unfavorably (neutral)
867,Han Solo,Somewhat favorably
868,Han Solo,Very favorably
869,Han Solo,Very favorably
870,Han Solo,Very favorably
871,Han Solo,Very favorably
874,Han Solo,Very favorably
875,Han Solo,Very favorably
877,Han Solo,Very favorably
879,Han Solo,Somewhat favorably
880,Han Solo,Somewhat favorably
882,Han Solo,Very favorably
883,Han Solo,Very favorably
885,Han Solo,Somewhat favorably
887,Han Solo,Very favorably
888,Han Solo,Somewhat favorably
889,Han Solo,Very favorably
890,Han Solo,Somewhat favorably
891,Han Solo,Very favorably
892,Han Solo,Very favorably
893,Han Solo,Very favorably
895,Han Solo,Very favorably
896,Han Solo,Very favorably
897,Han Solo,Very favorably
898,Han Solo,Very favorably
901,Han Solo,Very favorably
903,Han Solo,Very favorably
904,Han Solo,Very favorably
905,Han Solo,Very favorably
906,Han Solo,Very favorably
907,Han Solo,Somewhat favorably
908,Han Solo,Very favorably
909,Han Solo,Very favorably
910,Han Solo,Very favorably
911,Han Solo,Very favorably
912,Han Solo,Neither favorably nor unfavorably (neutral)
914,Han Solo,Very favorably
915,Han Solo,Very favorably
916,Han Solo,Very favorably
917,Han Solo,Very favorably
918,Han Solo,Very favorably
919,Han Solo,Very favorably
920,Han Solo,Very favorably
924,Han Solo,Somewhat favorably
925,Han Solo,Unfamiliar (N/A)
926,Han Solo,Very favorably
928,Han Solo,Very favorably
935,Han Solo,Somewhat favorably
937,Han Solo,Very favorably
938,Han Solo,Somewhat favorably
940,Han Solo,Somewhat favorably
941,Han Solo,Somewhat unfavorably
944,Han Solo,Very favorably
946,Han Solo,Very favorably
947,Han Solo,Somewhat unfavorably
948,Han Solo,Somewhat unfavorably
949,Han Solo,Somewhat favorably
950,Han Solo,Neither favorably nor unfavorably (neutral)
951,Han Solo,Very favorably
952,Han Solo,Somewhat favorably
953,Han Solo,Somewhat favorably
954,Han Solo,Somewhat favorably
956,Han Solo,Very favorably
957,Han Solo,Somewhat favorably
960,Han Solo,Very favorably
961,Han Solo,Very favorably
962,Han Solo,Very favorably
963,Han Solo,Somewhat favorably
964,Han Solo,Very favorably
965,Han Solo,Very favorably
966,Han Solo,Very favorably
967,Han Solo,Neither favorably nor unfavorably (neutral)
968,Han Solo,Very favorably
970,Han Solo,Very favorably
971,Han Solo,Very favorably
972,Han Solo,Somewhat favorably
973,Han Solo,Very favorably
974,Han Solo,Somewhat favorably
975,Han Solo,Somewhat favorably
976,Han Solo,Very favorably
977,Han Solo,Very favorably
978,Han Solo,Very favorably
979,Han Solo,Very favorably
980,Han Solo,Somewhat favorably
983,Han Solo,Very favorably
984,Han Solo,Very favorably
987,Han Solo,Very favorably
989,Han Solo,Very favorably
990,Han Solo,Somewhat favorably
992,Han Solo,Very favorably
994,Han Solo,Somewhat favorably
995,Han Solo,Neither favorably nor unfavorably (neutral)
996,Han Solo,Very favorably
997,Han Solo,Very favorably
998,Han Solo,Very favorably
1000,Han Solo,Very favorably
1001,Han Solo,Somewhat favorably
1002,Han Solo,Very favorably
1003,Han Solo,Very favorably
1005,Han Solo,Somewhat favorably
1010,Han Solo,Very favorably
1011,Han Solo,Very favorably
1012,Han Solo,Somewhat favorably
1016,Han Solo,Somewhat favorably
1017,Han Solo,Very favorably
1019,Han Solo,Very favorably
1020,Han Solo,Very favorably
1021,Han Solo,Somewhat favorably
1022,Han Solo,Very favorably
1026,Han Solo,Somewhat favorably
1028,Han Solo,Very favorably
1030,Han Solo,Somewhat favorably
1032,Han Solo,Very favorably
1033,Han Solo,Very favorably
1035,Han Solo,Very favorably
1036,Han Solo,Somewhat favorably
1037,Han Solo,Unfamiliar (N/A)
1039,Han Solo,Somewhat favorably
1040,Han Solo,Neither favorably nor unfavorably (neutral)
1041,Han Solo,Very favorably
1042,Han Solo,Neither favorably nor unfavorably (neutral)
1044,Han Solo,Very favorably
1046,Han Solo,Somewhat favorably
1047,Han Solo,Very favorably
1048,Han Solo,Very favorably
1050,Han Solo,Very favorably
1051,Han Solo,Very favorably
1055,Han Solo,Very favorably
1056,Han Solo,Somewhat favorably
1057,Han Solo,Very favorably
1058,Han Solo,Somewhat favorably
1059,Han Solo,Somewhat favorably
1067,Han Solo,Very favorably
1068,Han Solo,Somewhat favorably
1069,Han Solo,Very favorably
1070,Han Solo,Somewhat favorably
1071,Han Solo,Very favorably
1072,Han Solo,Very favorably
1073,Han Solo,Very favorably
1076,Han Solo,Neither favorably nor unfavorably (neutral)
1078,Han Solo,Neither favorably nor unfavorably (neutral)
1079,Han Solo,Somewhat favorably
1081,Han Solo,Very favorably
1083,Han Solo,Very favorably
1086,Han Solo,Very favorably
1087,Han Solo,Very favorably
1088,Han Solo,Very favorably
1090,Han Solo,Very favorably
1091,Han Solo,Somewhat favorably
1092,Han Solo,Somewhat favorably
1096,Han Solo,Neither favorably nor unfavorably (neutral)
1097,Han Solo,Somewhat favorably
1098,Han Solo,Very favorably
1099,Han Solo,Very favorably
1100,Han Solo,Very favorably
1101,Han Solo,Very favorably
1102,Han Solo,Somewhat favorably
1103,Han Solo,Very favorably
1104,Han Solo,Neither favorably nor unfavorably (neutral)
1106,Han Solo,Very favorably
1107,Han Solo,Very favorably
1110,Han Solo,Somewhat favorably
1111,Han Solo,Very favorably
1112,Han Solo,Very favorably
1113,Han Solo,Very favorably
1114,Han Solo,Somewhat favorably
1117,Han Solo,Unfamiliar (N/A)
1118,Han Solo,Neither favorably nor unfavorably (neutral)
1119,Han Solo,Very favorably
1121,Han Solo,Very favorably
1123,Han Solo,Somewhat favorably
1125,Han Solo,Very favorably
1126,Han Solo,Somewhat favorably
1127,Han Solo,Very favorably
1128,Han Solo,Very favorably
1129,Han Solo,Very favorably
1130,Han Solo,Neither favorably nor unfavorably (neutral)
1131,Han Solo,Very favorably
1133,Han Solo,Very favorably
1134,Han Solo,Very favorably
1138,Han Solo,Very favorably
1140,Han Solo,Somewhat favorably
1142,Han Solo,Very favorably
1144,Han Solo,Very favorably
1145,Han Solo,Somewhat favorably
1146,Han Solo,Very favorably
1147,Han Solo,Very favorably
1148,Han Solo,Very favorably
1149,Han Solo,Somewhat favorably
1152,Han Solo,Very favorably
1154,Han Solo,Very favorably
1155,Han Solo,Very favorably
1156,Han Solo,Very favorably
1158,Han Solo,Very favorably
1160,Han Solo,Somewhat favorably
1161,Han Solo,Somewhat favorably
1162,Han Solo,Somewhat favorably
1163,Han Solo,Very favorably
1164,Han Solo,Somewhat favorably
1165,Han Solo,Very favorably
1166,Han Solo,Very favorably
1167,Han Solo,Very favorably
1169,Han Solo,Very favorably
1171,Han Solo,Very favorably
1172,Han Solo,Very favorably
1173,Han Solo,Very favorably
1174,Han Solo,Very favorably
1175,Han Solo,Very favorably
1176,Han Solo,Neither favorably nor unfavorably (neutral)
1177,Han Solo,Very favorably
1179,Han Solo,Very favorably
1180,Han Solo,Very favorably
1181,Han Solo,Very favorably
1182,Han Solo,Very favorably
1184,Han Solo,Very favorably
1185,Han Solo,Very favorably
1186,Luke Skywalker,Very favorably
1188,Luke Skywalker,Somewhat favorably
1189,Luke Skywalker,Very favorably
1190,Luke Skywalker,Somewhat favorably
1191,Luke Skywalker,Very favorably
1192,Luke Skywalker,Very favorably
1193,Luke Skywalker,Somewhat favorably
1194,Luke Skywalker,Somewhat unfavorably
1195,Luke Skywalker,Very favorably
1198,Luke Skywalker,Very favorably
1199,Luke Skywalker,Very favorably
1200,Luke Skywalker,Very favorably
1201,Luke Skywalker,Somewhat favorably
1202,Luke Skywalker,Somewhat favorably
1203,Luke Skywalker,Very favorably
1204,Luke Skywalker,Very favorably
1205,Luke Skywalker,Somewhat favorably
1206,Luke Skywalker,Very favorably
1207,Luke Skywalker,Neither favorably nor unfavorably (neutral)
1208,Luke Skywalker,Very favorably
1209,Luke Skywalker,Somewhat favorably
1210,Luke Skywalker,Very favorably
1212,Luke Skywalker,Somewhat favorably
1213,Luke Skywalker,Very favorably
1214,Luke Skywalker,Somewhat favorably
1215,Luke Skywalker,Very favorably
1216,Luke Skywalker,Neither favorably nor unfavorably (neutral)
1217,Luke Skywalker,Very favorably
1218,Luke Skywalker,Somewhat unfavorably
1221,Luke Skywalker,Very favorably
1222,Luke Skywalker,Neither favorably nor unfavorably (neutral)
1223,Luke Skywalker,Somewhat favorably
1224,Luke Skywalker,Somewhat favorably
1225,Luke Skywalker,Very favorably
1226,Luke Skywalker,Very favorably
1227,Luke Skywalker,Very favorably
1228,Luke Skywalker,Very favorably
1229,Luke Skywalker,Very favorably
1230,Luke Skywalker,Very favorably
1231,Luke Skywalker,Very favorably
1233,Luke Skywalker,Very favorably
1234,Luke Skywalker,Very favorably
1236,Luke Skywalker,Somewhat favorably
1237,Luke Skywalker,Somewhat favorably
1238,Luke Skywalker,Very favorably
1239,Luke Skywalker,Very favorably
1240,Luke Skywalker,Somewhat favorably
1242,Luke Skywalker,Very favorably
1243,Luke Skywalker,Somewhat favorably
1244,Luke Skywalker,Very favorably
1245,Luke Skywalker,Somewhat favorably
1246,Luke Skywalker,Very favorably
1247,Luke Skywalker,Somewhat unfavorably
1248,Luke Skywalker,Very favorably
1249,Luke Skywalker,Very favorably
